_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,price,productName,score,source
5c9f927f13ba61f2f0673bbf,1005677002,187,人工智能,0.0,15.0,3800.0,Spark&人工智能核心技能进阶课程,4.4,study.163.com
5c9f927f13ba61f2f0673bc1,1005683007,187,人工智能,0.0,15.0,3800.0,Spark&人工智能核心技能进阶课程,4.4,study.163.com
5c9f927f13ba61f2f0673bc3,1005690001,570,人工智能,26.0,29.0,119.0,人工智能的新哲学,4.4,study.163.com
5c9f927f13ba61f2f0673bc5,1005695008,156,人工智能,1632.0,129.0,298.0,数据科学人工智能-必备数学基础,4.7,study.163.com
5c9f927f13ba61f2f0673bc7,1004336023,333,人工智能,9701.0,6.0,0.0,AI时代-人工智能入门指南,4.8,study.163.com
5c9f927f13ba61f2f0673bc9,1004387001,620,人工智能,4541.0,9.0,0.0,AI教研室人工智能系列公开课,4.0,study.163.com
5c9f927f13ba61f2f0673bcb,1209071802,164,人工智能,28.0,12.0,0.0,c++与人工智能,4.4,study.163.com
5c9f927f13ba61f2f0673bcd,1209075828,208,机器学习,1.0,37.0,119.0,人工智能之机器学习/深度编程,4.4,study.163.com
5c9f927f13ba61f2f0673bcf,1209135803,346,人工智能,642.0,5.0,0.0,人工智能微专业系列直播课Ⅱ,4.5,study.163.com
5c9f927f13ba61f2f0673bd1,1005742027,127,人工智能,218.0,3.0,0.0,人工智能之人脸识别,4.5,study.163.com
5c9f927f13ba61f2f0673bd3,1005815013,155,机器学习,46.0,200.0,34.0,python机器学习深度学习人工智能,4.4,study.163.com
5c9f927f13ba61f2f0673bd5,1005954015,134,人工智能,11.0,16.0,999.0,免编程的人工智能实训课,4.5,study.163.com
5c9f927f13ba61f2f0673bd7,1005972002,101,人工智能,6499.0,24.0,0.0,撩课-Python大数据+人工智能1,4.9,study.163.com
5c9f927f13ba61f2f0673bd9,1005974002,88,人工智能,7556.0,135.0,0.0,撩课-Python大数据+人工智能2,4.9,study.163.com
5c9f927f13ba61f2f0673bdb,1005982001,361,人工智能,14.0,3.0,29.0,通用人工智能之梦,4.7,study.163.com
5c9f927f13ba61f2f0673bdd,1004713020,549,人工智能,166.0,18.0,69.0,人工智能百度AI:语音识别java方向,4.8,study.163.com
5c9f927f13ba61f2f0673bdf,1004717040,549,人工智能,153.0,19.0,89.0,人工智能百度AI:语音合成,4.9,study.163.com
5c9f927f13ba61f2f0673be1,1004777011,615,人工智能,181.0,31.0,499.0,深度有趣 - 人工智能实战合集,4.6,study.163.com
5c9f927f13ba61f2f0673be3,1004811003,441,深度学习,2.0,13.0,8.0,人工智能/深度学习极速入门,4.4,study.163.com
5c9f927f13ba61f2f0673be5,1004953013,141,人工智能,50.0,27.0,58.0,AI人工智能基础之高等数学必知必会,4.4,study.163.com
5c9f927f13ba61f2f0673be7,1004991028,268,人工智能,234.0,4.0,0.0,人工智能基础：少儿C++编程入门,4.4,study.163.com
5c9f927f13ba61f2f0673be9,1005022006,232,人工智能,394.0,53.0,0.0,现代人工智能——基于PaddlePaddle,4.3,study.163.com
5c9f927f13ba61f2f0673beb,1004094059,370,人工智能,3.0,2.0,29.9,人工智能技术与汽车的融合,4.4,study.163.com
5c9f927f13ba61f2f0673bed,2001325004,0,人工智能,,,0.0,《人工智能数学基础》微专业体验课,4.3,study.163.com
5c9f927f13ba61f2f0673bef,1005984007,90,人工智能,2787.0,116.0,0.0,撩课-Python大数据+人工智能6,4.9,study.163.com
5c9f927f13ba61f2f0673bf1,1006066373,347,人工智能,7564.0,32.0,0.0,人工智能微专业系列直播课,4.6,study.163.com
5c9f927f13ba61f2f0673bf3,1006127007,62,机器学习,77.0,77.0,23.0,Python机器学习/Python人工智能,4.6,study.163.com
5c9f927f13ba61f2f0673bf5,1006241011,264,深度学习,163.0,4.0,0.0,和罗浩学人工智能深度学习,4.5,study.163.com
5c9f927f13ba61f2f0673bf7,1006297016,249,人工智能,42.0,73.0,199.9,人工智能基础入门详解,4.2,study.163.com
5c9f927f13ba61f2f0673bfd,2001392002,0,人工智能,,,200.0,人工智能与计算机视觉：课程导论,4.3,study.163.com
5c9f927f13ba61f2f0673bff,1002906015,370,人工智能,36.0,117.0,98.0,C语言高级开发｜人工智能物联网,4.5,study.163.com
5c9f927f13ba61f2f0673c01,1002911024,362,人工智能,445.0,28.0,9.9,Linux进程通信｜人工智能物联网,4.6,study.163.com
5c9f927f13ba61f2f0673c03,1002913008,361,人工智能,692.0,50.0,1.9,LinuxIO系统｜人工智能物联网,4.7,study.163.com
5c9f927f13ba61f2f0673c05,1002913011,359,人工智能,652.0,62.0,9.9,Linux进程信号｜人工智能物联网,4.6,study.163.com
5c9f927f13ba61f2f0673c07,1002913013,386,人工智能,1288.0,38.0,9.9,Linux网络编程｜人工智能物联网,4.7,study.163.com
5c9f927f13ba61f2f0673c09,1003284004,318,人工智能,29689.0,5.0,0.0,认知计算与人工智能,4.4,study.163.com
5c9f927f13ba61f2f0673c0b,1003520030,206,人工智能,8032.0,3.0,0.0,"这波人工智能潮,你可不能再跟丢",4.6,study.163.com
5c9f927f13ba61f2f0673c13,1005266013,267,人工智能,588.0,8.0,0.0,人工智能数学基础体验课,4.4,study.163.com
