_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb4a013ba61f2f06751d4,course~F6WHgnHtEeWLqw7zlLhRzQ,1183,ai,12427.0,Intermediate,Поиск структуры в данных,4.684836471754212,coursera.org,25.0
5c9fb4a513ba61f2f06751d7,course~4faq5hcDEeiLDxJvyy9TxA,381,big data,1493.0,Beginner,Big Data: el impacto de los datos masivos en la sociedad actual,4.610619469026549,coursera.org,9.0
5c9fb4a813ba61f2f06751da,course~05ISI2XaEeadpwpiiuGnhw,362,ai,8888.0,Intermediate,Hands-on Text Mining and Analytics,3.972972972972973,coursera.org,24.0
5c9fb4ad13ba61f2f06751dd,course~4IaPepXJEeir-RIKs5gHUA,367,ai,46.0,Intermediate,Intro to TensorFlow em Português Brasileiro,4.888888888888889,coursera.org,13.0
5c9fb4b013ba61f2f06751e0,course~p7Ql1go7EemaoQ6n9kv2xA,320,ai,145.0,Intermediate,Future Development in Supply Chain Finance and Blockchain Technology,3.5,coursera.org,7.0
5c9fb4b413ba61f2f06751e2,course~R_CeEP9AEeaKrQrJfAdZcg,115,big data,15380.0,Intermediate,Serverless Data Analysis with Google BigQuery and Cloud Dataflow,4.478636826042726,coursera.org,8.0
5c9fb4b913ba61f2f06751e6,course~qKQR-6ZMEeipAg4L-e-Ezg,598,ai,230.0,Intermediate,Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform auf Deutsch,,coursera.org,5.0
5c9fb4be13ba61f2f06751e8,course~7i1vmdvHEeibcwrQyd6cJg,391,ai,553.0,Intermediate,Business Application of Machine Learning and Artificial Intelligence in Healthcare,5.0,coursera.org,11.0
5c9fb4c113ba61f2f06751eb,course~W_mOXCrdEeeNPQ68_4aPpA,337,ai,362266.0,Intermediate,Neural Networks and Deep Learning,4.893104713749796,coursera.org,18.0
5c9fb4c513ba61f2f06751ee,course~oevpufy2Eeio4BIihiZW_g,468,ai,280.0,Intermediate,Machine Learning for Business Professionals,5.0,coursera.org,16.0
5c9fb4c813ba61f2f06751f0,course~JFjSEGj_EeiOiBLbdFBodg,534,ai,95.0,Intermediate,How Google does Machine Learning auf Deutsch,,coursera.org,7.0
5c9fb4cb13ba61f2f06751f3,course~-N44X0IJEeWpogr5ZO8qxQ,39,ai,52558.0,Mixed,Machine Learning: Clustering & Retrieval,4.625621890547263,coursera.org,48.0
