_id,courseId,descriptionSize,keyWord,learnerCount,lessonCount,num_reviews,price,productDifficultyLevel,productName,published_time,score,source,time
5ca03dda13ba61f2f0676b7b,2232310,92,big data,4054,12,17,$19.99,Beginner Level,Introduction to SAS,2019-02-25T01:28:11Z,3.95151,udemy.com,1.5 hours
5ca03ddd13ba61f2f0676b7e,2194482,61,big data,1261,26,21,$169.99,Beginner Level,Psychic: Master your Psychic Ability with Rune Reading,2019-02-05T20:29:54Z,4.39929,udemy.com,1 hour
5ca03ddd13ba61f2f0676b80,2126596,1027,big data,2470,125,23,$199.99,Expert Level,Econometrics#2: Econometrics Modeling and Analysis in EViews,2019-01-07T22:40:18Z,3.95614,udemy.com,17 hours
5ca03ddd13ba61f2f0676b83,2107396,200,big data,5974,21,23,$119.99,Intermediate Level,Power Pivot in Microsoft Excel 2016,2018-12-26T22:43:37Z,4.00138,udemy.com,3.5 hours
5ca03ddd13ba61f2f0676b86,2213960,1174,big data,3466,153,39,$199.99,All Levels,Informatica PowerCenter - Beginner to Expert Level,2019-02-14T00:55:23Z,4.05672,udemy.com,19.5 hours
5ca03ddd13ba61f2f0676b89,2192442,1105,big data,10802,160,34,$199.99,All Levels,Adobe Premiere Pro - The Complete Video Editing Master Class,2019-02-05T19:04:52Z,3.72338,udemy.com,18.5 hours
5ca03ddd13ba61f2f0676b8b,35582,497,big data,538,40,76,$49.99,Beginner Level,Oracle SQL for beginners,2014-02-11T19:26:40Z,3.8639,udemy.com,8.5 hours
5ca03ddd13ba61f2f0676b8d,1627214,145,big data,1570,31,36,$104.99,Beginner Level,Amazon DynamoDB: Build out NoSQL Databases in the AWS Cloud,2018-04-06T18:06:26Z,3.41507,udemy.com,2.5 hours
5ca03ddd13ba61f2f0676b8f,2007400,80,big data,526,13,2,$199.99,All Levels,Career Coaching Masterclass™: Develop a Successful Career,2018-11-07T01:45:59Z,3.57534,udemy.com,1.5 hours
5ca03ddd13ba61f2f0676b91,2105940,286,big data,3831,34,9,$119.99,All Levels,"MULTISIM - Circuit Design, Schematics Capture and Analysis",2018-12-26T19:38:26Z,3.85091,udemy.com,5 hours
5ca03ddd13ba61f2f0676b93,2175310,272,big data,4069,40,4,$99.99,Intermediate Level,Compositing using After Effects,2019-01-26T20:47:25Z,4.81137,udemy.com,4.5 hours
5ca03ddd13ba61f2f0676b95,2214048,183,big data,3077,27,5,$199.99,Intermediate Level,Rotoscopying using After Effects,2019-02-13T23:17:48Z,4.43389,udemy.com,3 hours
5ca03ddd13ba61f2f0676b97,1989040,106,big data,857,32,12,$199.99,All Levels,Business Branding Masterclass™ - Develop a Successful Brand,2018-10-26T19:00:38Z,3.71995,udemy.com,2 hours
5ca03ddd13ba61f2f0676b99,2175402,97,big data,1813,15,3,$99.99,Beginner Level,Generating Particles in Fusion,2019-01-27T21:33:11Z,4.78231,udemy.com,1.5 hours
5ca03ddd13ba61f2f0676b9b,2088020,566,big data,3585,73,4,$199.99,All Levels,"Natron - Compositing, Keying and Rotoscoping using Natron",2018-12-27T17:19:13Z,3.81907,udemy.com,9.5 hours
5ca03ddd13ba61f2f0676b9d,2152300,1567,big data,3697,218,7,$199.99,All Levels,Blackmagic Fusion - The Ultimate Guide 2019,2019-01-17T14:21:34Z,3.38331,udemy.com,26 hours
5ca03ddd13ba61f2f0676b9f,1975226,157,big data,637,48,11,$199.99,All Levels,Business Development Masterclass™ - Business Growth Secrets,2018-10-24T19:57:59Z,3.29205,udemy.com,2.5 hours
5ca03ddd13ba61f2f0676ba1,2200616,713,big data,3315,94,2,$199.99,Beginner Level,Autodesk Combustion - The Ultimate Guide 2019,2019-02-11T19:49:52Z,3.0,udemy.com,12 hours
5ca03de113ba61f2f0676ba4,2241172,159,big data,2,18,0,$59.99,Beginner Level,Understanding on Google Charts,2019-03-14T23:49:59Z,0.0,udemy.com,2.5 hours
5ca03de113ba61f2f0676ba6,1304224,72,big data,7232,21,252,Free,Beginner Level,Introduction to Data Analysis for Government,2018-02-01T02:09:56Z,4.17777,udemy.com,1 hour
5ca03de113ba61f2f0676ba8,1674016,68,big data,4878,13,73,Free,All Levels,EU Privacy Laws & AWS: Build Compliant Data Architectures,2018-05-10T23:34:12Z,3.84736,udemy.com,1 hour
5ca03de113ba61f2f0676baa,1653744,554,big data,1155,57,331,$159.99,Beginner Level,Sıfırdan Her Yönüyle Big Data Eğitimi,2018-05-07T10:52:23Z,4.48356,udemy.com,9 hours
